id,actual_response,actual_type,actual_activity,is_correct_prediction
1,N,suggestion,meal planning,True
2,Y,suggestion,water intake,True
3,N,suggestion,healthy eating,True
4,N,reward,meal planning,True
5,Y,suggestion,portion control,True
6,N,suggestion,meal planning,True
7,Y,suggestion,portion control,True
8,N,suggestion,healthy eating,True
9,Y,praise,portion control,True
10,N,reminder,healthy eating,True
11,Y,suggestion,water intake,True
12,Y,suggestion,water intake,True
13,N,reward,healthy eating,True
14,Y,reminder,portion control,True
15,Y,praise,water intake,True
16,N,suggestion,meal planning,True
17,Y,suggestion,water intake,True
18,Y,praise,portion control,True
19,N,reward,healthy eating,True
20,Y,suggestion,portion control,True
21,N,reward,healthy eating,True
22,N,suggestion,meal planning,True
23,Y,suggestion,water intake,True
24,Y,praise,portion control,True
25,Y,suggestion,water intake,True
26,Y,suggestion,water intake,True
27,N,reward,meal planning,True
28,N,reward,meal planning,True
29,Y,suggestion,water intake,True
30,Y,suggestion,water intake,True
31,N,reward,healthy eating,True
32,Y,suggestion,portion control,True
33,N,suggestion,meal planning,True
34,Y,reminder,portion control,True
35,Y,reminder,portion control,True
36,Y,suggestion,water intake,True
37,N,reward,healthy eating,True
38,Y,suggestion,portion control,True
39,N,suggestion,meal planning,True
40,N,reminder,healthy eating,True
41,Y,reward,portion control,True
42,Y,suggestion,water intake,True
43,N,suggestion,healthy eating,True
44,Y,suggestion,portion control,True
45,Y,reward,portion control,True
46,Y,praise,portion control,True
47,N,suggestion,meal planning,True
48,Y,suggestion,portion control,True
49,Y,reward,portion control,True
50,Y,reminder,portion control,True
51,Y,suggestion,portion control,True
52,Y,suggestion,water intake,True
53,Y,suggestion,portion control,True
1,Y,reminder,water intake,True
2,Y,reward,meal planning,True
3,Y,praise,water intake,True
4,Y,praise,meal planning,True
5,Y,reward,meal planning,True
6,Y,reward,meal planning,True
7,Y,praise,water intake,True
8,Y,suggestion,meal planning,True
9,Y,praise,meal planning,True
10,Y,suggestion,meal planning,True
11,Y,praise,meal planning,True
12,Y,praise,meal planning,True
13,Y,praise,water intake,True
14,Y,reminder,meal planning,True
15,Y,reminder,meal planning,True
16,Y,reward,meal planning,True
17,N,praise,healthy eating,True
18,Y,praise,meal planning,True
19,Y,praise,meal planning,True
20,Y,praise,meal planning,True
21,N,praise,portion control,True
